LFQ intensity 6A_1	LFQ intensity 6A_2	LFQ intensity 6A_3	LFQ intensity 6A_4	LFQ intensity 6A_5	LFQ intensity 6A_6	LFQ intensity 6A_7	LFQ intensity 6A_8	LFQ intensity 6A_9	LFQ intensity 6B_1	LFQ intensity 6B_2	LFQ intensity 6B_3	LFQ intensity 6B_4	LFQ intensity 6B_5	LFQ intensity 6B_6	LFQ intensity 6B_7	LFQ intensity 6B_8	LFQ intensity 6B_9	LFQ intensity 6C_1	LFQ intensity 6C_2	LFQ intensity 6C_3	LFQ intensity 6C_4	LFQ intensity 6C_5	LFQ intensity 6C_6	LFQ intensity 6C_7	LFQ intensity 6C_8	LFQ intensity 6C_9	Student's T-test Significant 6B_6A	Student's T-test Significant 6C_6A	Student's T-test Significant 6C_6B	Student's T-test significant	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	Intensity	MS/MS count	Student's T-test p-value 6B_6A	Student's T-test q-value 6B_6A	Student's T-test Difference 6B_6A	Student's T-test Test statistic 6B_6A	Student's T-test p-value 6C_6A	Student's T-test q-value 6C_6A	Student's T-test Difference 6C_6A	Student's T-test Test statistic 6C_6A	Student's T-test p-value 6C_6B	Student's T-test q-value 6C_6B	Student's T-test Difference 6C_6B	Student's T-test Test statistic 6C_6B	Protein IDs	Majority protein IDs	Protein names	Gene names
#!{Type}E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	C	C	C	C	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	T	T	T	T
#!{C:Condition}6A	6A	6A	6A	6A	6A	6A	6A	6A	6B	6B	6B	6B	6B	6B	6B	6B	6B	6C	6C	6C	6C	6C	6C	6C	6C	6C																															
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.31717					1	1	1	22.2	22.2	22.2	7.9021	0.00084602	5.5127	1340500	14	1.0000001	1	0	0	1	0.956360396039604	NaN	0	1	0.958477700693756	NaN	0	A5Z2X5	A5Z2X5	UPF0495 protein YPR010C-A	YPR010C-A
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.5524	17.31088	17.54834	NaN	NaN	NaN	NaN	NaN	NaN	18.1946	18.10006	18.64026	NaN	NaN	NaN					5	4	4	11.3	8.7	8.7	66.356	0	14.012	2562800	12	1	0.957685658153242	NaN	0	1	0.955414441147379	NaN	0	0.010388495281077	0.328625	0.841100056966145	4.55368538786875	P02768ups;CON__P02768-1	P02768ups;CON__P02768-1		
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.31274	NaN	NaN	NaN					2	2	2	6	6	6	47.848	0.00079808	4.7665	2681600	2	1.0000001	1	0	0	1	0.954470355731225	NaN	0	1	0.957528712871287	NaN	0	D6VTK4	D6VTK4	Pheromone alpha factor receptor	STE2
NaN	NaN	NaN	18.89152	18.75757	18.67124	NaN	18.63598	NaN	NaN	NaN	NaN	19.45986	19.97141	19.68726	20.2092	19.46589	19.93069	NaN	NaN	NaN	20.82345	20.51682	21.05039	21.91929	20.94928	21.33429	+	+	+	6B_6A;6C_6A;6C_6B	6	6	6	37.8	37.8	37.8	20.475	0	26.319	26225000	23	0.000178456273577096	0.013	1.04830662409465	6.55009694861148	1.33071658236671E-05	0.00125	2.35984373092651	9.41317594650079	0.000214680391448461	0.0136842105263158	1.31153710683187	5.64245669427331	O00762ups	O00762ups		
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.23009					15	1	1	52.8	9.1	9.1	22.443	0	50.099	14540000	22	1.0000001	1	0	0	1	0.953528134254689	NaN	0	1	0.956581602373887	NaN	0	O13516	O13516	40S ribosomal protein S9-A	RPS9A
NaN	NaN	NaN	NaN	NaN	NaN	22.15582	22.34992	22.18879	NaN	NaN	NaN	NaN	NaN	NaN	22.34889	22.34213	21.98412	NaN	NaN	NaN	NaN	NaN	NaN	22.14464	22.46643	22.29098					3	3	3	18.1	18.1	18.1	23.268	0	9.1163	46709000	15	0.96399302808364	0.968617919670443	-0.00646400451660156	-0.0480323685576415	0.565866831814007	1	0.0691680908203125	0.624981720244679	0.645332656403451	1	0.0756320953369141	0.496895585969142	O13547	O13547	Covalently-linked cell wall protein 14	CCW14
NaN	NaN	NaN	18.88429	19.0128	18.98437	19.4775	19.81229	19.69569	NaN	NaN	NaN	18.96189	19.23437	19.09414	19.58211	19.82848	19.7455	NaN	NaN	NaN	19.35924	19.28988	19.04169	19.40129	19.87431	19.59162					2	2	2	15.4	15.4	15.4	17.902	0	16.062	13221000	39	0.670101732120945	1	0.096592903137207	0.438847854892461	0.578098619696892	1	0.115179697672524	0.574845418698545	0.922764794087591	0.968789587852495	0.0185867945353166	0.0994262403369659	O13563	O13563	26S proteasome regulatory subunit RPN13	RPN13
25.96834	26.00873	26.06751	25.16672	25.36973	25.4921	25.76269	25.52809	25.40613	26.02551	26.02709	25.99458	25.49756	25.46706	25.45026	25.55807	25.54681	25.32089	26.22297	25.63179	25.75822	25.4627	25.35998	25.38782	25.5131	25.51292	25.35353					7	7	2	50	50	10	11.135	0	125.97	1258400000	143	0.92774616376536	0.988122270742358	0.0130886501736107	0.0921201089142895	0.661378108204876	1	-0.0630009969075509	-0.446276556885414	0.569037126035817	1	-0.0760896470811616	-0.581452847894599	O14455	O14455	60S ribosomal protein L36-B	RPL36B
